name,bio,num_insults,date_of_first_insult
Bill Clinton,"William Jefferson Clinton is an American politician who served as the 42nd President of the United States from 1993 to 2001. Clinton was Governor of Arkansas from 1979 to 1981 and 1983 to 1992, and Arkansas Attorney General from 1977 to 1979. ",8,2015-12-27T00:31:07+0000
Bill Kristol,William Kristol is an American neoconservative political analyst and commentator. He is the founder and editor of the political magazine The Weekly Standard and a political commentator on several networks.,8,2015-10-26T22:19:56+0000
Willie Geist,"William Russell ""Willie"" Geist is an American television personality, journalist and humorist. He is co-anchor of MSNBC's Morning Joe and anchor of Sunday Today with Willie Geist. Geist also frequently serves as fill-in anchor on Today for Matt Lauer. ",1,2015-06-25T00:36:14+00:00
Tim O'Brien,"William Timothy ""Tim"" O'Brien is an American novelist best known for his work of fiction, The Things They Carried, a critically acclaimed collection of semi-autobiographical, interrelated short stories inspired by O'Brien's experiences in the Vietnam War. ",3,2015-07-23T02:47:26+0000
Alicia Machado,"Yoseph Alicia Machado Fajardo known simply as Alicia Machado is a Venezuelan-born American actress, TV host, singer and beauty queen who was Miss Venezuela 1995 and then Miss Universe 1996. ",3,2016-09-30T09:14:03+0000
Chris Stirewalt,"Chris Stirewalt joined Fox News Channel (FNC) in July of 2010 and serves as the networks digital politics editor based in Washington, D.C. Additionally, he writes a daily politics newsletter, Fox News First, and hosts Power Play"" on FoxNews.com.",3,2015-10-16T02:00:12+0000
Clare O'Connor,Clare O'Connor is a staff writer at Forbes Magazine covering women entrepreneurs and workplace equality.,3,2015-07-09T17:10:50+00:00
Serge Kovaleski,"Serge F. Kovaleski is an investigative reporter at The New York Times.[1] He was born in Cape Town, South Africa, and graduated in 1984 from the College of William & Mary in Williamsburg, Virginia, having majored in philosophy.",2,2015-11-28T14:32:29+0000
Ben Schreckinger,"Ben Schreckinger covers national politics for Politico. In 2014, he lived in Boston and wrote on politics, economics, culture and their intersections for Slate, Newsweek, Politico Magazine, the Atlantic (digital), the Boston Globe, Boston Magazine, and the Financial Times, among others.",2,2015-12-03T16:49:45+0000
Jeff Horwitz,"Jeff Horwitz is a reporter writing about finance, banking, regulation and other business-related topics for the Associated Press in Washington. ",2,2015-11-23T16:23:10+0000
Melinda Henneberger,Melinda Henneberger is an Opinion Writer at USA Today. She also serves as a visiting fellow for the Catholic University of Americas Institute for Policy Research & Catholic Studies.,1,2015-12-18T18:02:12+0000
Lisa Belkin,"Lisa Belkin is the Huffington Posts Senior Columnist, reporting and opining on life, work and family. ",1,2016-05-19T01:54:08+0000
Barbara Res,Barbara Res is a real estate development and construction professional. She was the first female hard-hat boss to oversee an American skyscraper from start to finish.,1,2016-05-17T03:46:35+0000
John King,"John King is an American journalist. He is CNN's chief national correspondent, based in Washington, DC, and is anchor of its roundtable political discussion program Inside Politics.",1,2016-07-10T18:58:10+0000
Joe McQuaid,Joe McQuaid is an American political reporter in New Hampshire for the Union Leader.,1,2015-12-30T00:36:45+0000
Frank VanderSloot,"Frank L. VanderSloot is an American entrepreneur, radio network owner, rancher, and political campaign financier. He is the founder and chief executive officer of Melaleuca, Inc.",1,2015-11-24T22:03:45+0000
